Rank,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
489,BET,Betmakers Technology Group Ltd,$0.46,0.045,10.98%,$258.69 M,911.11%
"1,035",BFC,Beston Global Food Company Ltd,$0.08,-0.004,-4.71%,$47.70 M,-26.36%
392,BFG,Bell Financial Group Ltd,$1.26,-0.085,-6.34%,$402.53 M,28.06%
240,BGA,Bega Cheese Ltd,$4.67,0.05,1.08%,$1.00 B,0.86%
285,BGL,Bellevue Gold Ltd,$1.08,-0.045,-4.02%,$735.89 M,74.80%
315,BGP,Briscoe Group Australasia Ltd,$2.99,0,0.00%,$664.43 M,-11.80%
"1,428",BGT,Bio-Gene Technology Ltd,$0.13,0,0.00%,$19.65 M,41.30%
"1,940",BHD,Benjamin Hornigold Ltd,$0.19,0.005,2.70%,$4.59 M,-73.24%
"1,282",BHL,Boyuan Holdings Ltd,$0.08,0,0.00%,$27.45 M,-52.94%
3,BHP,BHP Group Ltd,$36.19,-0.27,-0.74%,$106.61 B,-12.22%
765,BID,Bidenergy Ltd,$0.78,0.005,0.65%,$101.31 M,-4.91%
355,BILL,Ishares Core Cash ETF,$100.26,0,0.00%,$507.90 M,-0.05%
209,BIN,Bingo Industries Ltd,$1.92,-0.05,-2.55%,$1.25 B,-18.16%
"2,091",BIQ,"Buildingiq, Inc",$0.01,0,0.00%,$2.24 M,-87.50%
"2,147",BIR,BIR Financial Ltd,$0.02,0,0.00%,$1.30 M,-84.76%
"1,101",BIS,Bisalloy Steel Group Ltd,$0.92,-0.01,-1.08%,$41.56 M,-8.50%
870,BIT,Biotron Ltd,$0.11,-0.01,-8.70%,$73.70 M,29.63%
231,BKI,BKI Investment Company Ltd,$1.43,0.02,1.42%,$1.05 B,-10.38%
197,BKL,Blackmores Ltd,$74.02,-0.64,-0.86%,$1.38 B,-19.32%
"1,205",BKT,Black Rock Mining Ltd,$0.05,0.002,3.92%,$33.33 M,-38.12%
137,BKW,Brickworks Ltd,$15.58,-0.06,-0.38%,$2.34 B,-7.37%
705,BKY,Berkeley Energia Ltd,$0.46,0.01,2.22%,$118.96 M,43.75%
"1,547",BLA,Blue Sky Alternative Investments Ltd,$0.19,0,0.00%,$14.38 M,0.00%
90,BLD,Boral Ltd,$3.68,-0.04,-1.08%,$4.51 B,-31.73%
"1,296",BLG,Bluglass Ltd,$0.04,-0.003,-7.50%,$26.60 M,-73.86%
"1,018",BLU,Blue Energy Ltd,$0.04,0.001,2.78%,$49.17 M,-15.91%
"2,078",BLV,Blossomvale Holdings Ltd,$0.04,0,0.00%,$2.46 M,-73.77%
521,BLX,Beacon Lighting Group Ltd,$1.04,-0.01,-0.96%,$229.29 M,-6.76%
"1,176",BLY,Boart Longyear Ltd,$0.40,0,0.00%,$35.16 M,-73.33%
"1,850",BLZ,BLAZE International Ltd,$0.03,0,0.00%,$6.30 M,36.36%
"2,063",BMG,BMG Resources Ltd,$0.00,0,0.00%,$2.69 M,-63.64%
"1,268",BMH,Baumart Holdings Ltd,$0.20,0,0.00%,$28.95 M,-16.67%
"1,211",BMN,Bannerman Resources Ltd,$0.03,-0.003,-8.82%,$32.82 M,-36.74%
710,BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund),$27.16,0.03,0.11%,$116.85 M,1.31%
"1,431",BNKS,Betashares Global Banks ETF - Currency Hedged,$4.62,-0.13,-2.74%,$19.49 M,-29.36%
"1,467",BNL,Blue Star Helium Ltd,$0.02,-0.001,-5.00%,$17.65 M,216.67%
"1,133",BNO,Bionomics Ltd,$0.06,0.002,3.33%,$38.82 M,55.00%
"1,544",BNR,Bulletin Resources Ltd,$0.08,-0.008,-8.89%,$14.70 M,446.67%
"1,687",BOA,Boadicea Resources Ltd,$0.18,0,0.00%,$10.01 M,28.57%
778,BOC,Bougainville Copper Ltd,$0.24,-0.005,-2.04%,$96.26 M,144.90%
793,BOE,Boss Resources Ltd,$0.06,-0.002,-3.33%,$92.07 M,5.46%
"1,092",BOL,Boom Logistics Ltd,$0.10,-0.001,-1.00%,$42.35 M,-40.00%
"1,055",BOND,SPDR S&P/ASX Australian Bond Fund,$28.30,0.03,0.11%,$45.87 M,2.28%
121,BOQ,Bank of Queensland Ltd,$6.11,-0.04,-0.65%,$2.78 B,-34.51%
"1,089",BOT,Botanix Pharmaceuticals Ltd,$0.04,-0.001,-2.22%,$42.80 M,-82.04%
"1,827",BPH,BPH Energy Ltd,$0.02,0,0.00%,$6.72 M,80.00%
"1,512",BPP,Babylon Pump & Power Ltd,$0.02,0,0.00%,$15.91 M,11.77%
110,BPT,Beach Energy Ltd,$1.42,-0.035,-2.41%,$3.23 B,-26.87%
930,BRB,Breaker Resources NL,$0.27,-0.01,-3.64%,$61.30 M,-25.35%
109,BRG,Breville Group Ltd,$23.69,0.44,1.89%,$3.23 B,31.03%
802,BRI,Big River Industries Ltd,$1.45,0,0.00%,$90.58 M,33.03%
"1,922",BRK,Brookside Energy Ltd,$0.01,0,0.00%,$5.01 M,-54.55%
801,BRL,Bathurst Resources Ltd,$0.05,0.001,1.92%,$90.60 M,-55.83%
599,BRN,Brainchip Holdings Ltd,$0.11,0,0.00%,$162.25 M,80.33%
"1,124",BRU,Buru Energy Ltd,$0.09,-0.002,-2.15%,$39.32 M,-63.60%
"1,063",BRV,Big River Gold Ltd,$0.03,0,0.00%,$44.81 M,277.78%
666,BSA,BSA Ltd,$0.30,-0.005,-1.64%,$129.79 M,-6.25%
506,BSE,Base Resources Ltd,$0.21,-0.005,-2.38%,$240.18 M,-14.58%
80,BSL,Bluescope Steel Ltd,$10.78,0.09,0.84%,$5.42 B,-9.18%
"1,668",BSM,Bass Metals Ltd,$0.00,0.001,50.00%,$10.45 M,-66.67%
"2,149",BSP,Black Star Petroleum Ltd,$0.00,0,0.00%,$1.30 M,0.00%
"1,236",BSR,Bassari Resources Ltd,$0.01,0,0.00%,$31.04 M,-18.75%
974,BSX,Blackstone Minerals Ltd,$0.22,-0.03,-12.00%,$55.39 M,120.00%
"1,350",BTC,BTC Health Ltd,$0.10,0,0.00%,$23.38 M,3.26%
443,BTH,Bigtincan Holdings Ltd,$0.86,0,0.00%,$323.84 M,68.63%
803,BTI,Bailador Technology Investments Ltd,$0.73,0.03,4.29%,$89.69 M,-31.13%
331,BUB,Bubs Australia Ltd,$1.04,-0.06,-5.46%,$582.71 M,-12.61%
"1,132",BUD,Buddy Technologies Ltd,$0.02,0,0.00%,$38.84 M,-68.75%
"1,425",BUG,Buderim Group Ltd,$0.23,0.01,4.55%,$19.79 M,24.32%
"1,660",BUX,Buxton Resources Ltd,$0.08,0,0.00%,$10.75 M,-24.76%
"1,580",BUY,Bounty Oil & Gas NL,$0.01,0,0.00%,$13.35 M,366.67%
222,BVS,Bravura Solutions Ltd,$4.56,-0.06,-1.30%,$1.11 B,-1.72%
"1,360",BWF,Blackwall Ltd,$0.36,0.03,9.09%,$22.73 M,-51.51%
132,BWP,BWP Trust,$3.83,0.02,0.53%,$2.46 B,-0.52%
537,BWR,Blackwall Property Trust,$1.43,0.025,1.79%,$211.64 M,9.62%
369,BWX,BWX Ltd,$3.67,-0.02,-0.54%,$456.00 M,79.02%
20,BXB,Brambles Ltd,$11.12,0.14,1.28%,$16.78 B,-9.08%
"1,843",BXN,Bioxyne Ltd,$0.01,0,0.00%,$6.40 M,-61.54%
624,BYE,Byron Energy Ltd,$0.15,0,0.00%,$153.53 M,-37.27%
"1,768",BYH,Bryah Resources Ltd,$0.07,-0.003,-4.35%,$8.01 M,-12.00%
"1,189",BYI,Beyond International Ltd,$0.56,-0.05,-8.20%,$34.35 M,-34.12%
"1,551",C6C,Copper Mountain Mining Corporation,$0.65,0,0.00%,$14.17 M,-24.42%
983,CAA,Capral Ltd,$0.11,-0.005,-4.35%,$54.65 M,4.76%
"1,337",CAD,Caeneus Minerals Ltd,$0.01,0.001,16.67%,$24.32 M,600.00%
"2,045",CAE,Cannindah Resources Ltd,$0.02,0,0.00%,$2.90 M,0.00%
"1,577",CAF,Centrepoint Alliance Ltd,$0.09,0.001,1.09%,$13.42 M,-15.46%
"1,271",CAG,Cape Range Ltd,$0.30,0,0.00%,$28.47 M,-69.39%
658,CAI,Calidus Resources Ltd,$0.61,0.015,2.52%,$134.02 M,84.85%
535,CAJ,Capitol Health Ltd,$0.21,-0.01,-4.55%,$214.75 M,-12.50%
795,CAM,Clime Capital Ltd,$0.81,0,0.00%,$91.72 M,-15.63%
675,CAN,Cann Group Ltd,$0.90,0.01,1.13%,$127.89 M,-55.91%
"1,860",CAP,Carpentaria Resources Ltd,$0.02,0.002,10.00%,$6.05 M,-56.00%
"1,877",CAQ,CAQ Holdings Ltd,$0.01,0,0.00%,$5.74 M,-60.00%
94,CAR,Carsales.com Ltd,$17.91,-0.14,-0.78%,$4.40 B,24.90%
515,CAT,Catapult Group International Ltd,$1.22,0.02,1.67%,$232.89 M,7.02%
"1,987",CAU,Cronos Australia Ltd,$0.08,-0.001,-1.27%,$3.79 M,-77.06%
"1,793",CAV,Carnavale Resources Ltd,$0.01,0,0.00%,$7.48 M,66.67%
939,CAY,Canyon Resources Ltd,$0.12,-0.005,-4.00%,$59.90 M,-38.46%
"1,613",CAZ,Cazaly Resources Ltd,$0.04,0,0.00%,$12.46 M,56.52%
2,CBA,Commonwealth Bank of Australia,$70.63,0.21,0.30%,$125.03 B,-13.06%
"1,575",CBE,Cobre Ltd,$0.21,0,0.00%,$13.48 M,-18.00%
551,CBR,Carbon Revolution Ltd,$1.50,0.085,6.01%,$200.12 M,-56.52%
"1,743",CBY,Canterbury Resources Ltd,$0.14,0,0.00%,$8.57 M,-53.45%
"1,209",CCA,Change Financial Ltd,$0.12,0.01,9.09%,$32.90 M,117.02%
"1,648",CCE,Carnegie Clean Energy Ltd,$0.00,0,0.00%,$11.14 M,-66.67%
"1,623",CCG,Commschoice Group Ltd,$0.06,0,0.00%,$12.06 M,14.55%
"2,161",CCJ,County International Ltd,$0.00,0,0.00%,$957.40 TH,-33.33%
72,CCL,Coca-Cola Amatil Ltd,$8.52,-0.01,-0.12%,$6.17 B,-18.63%
234,CCP,Credit Corp Group Ltd,$15.26,-0.38,-2.43%,$1.03 B,-43.29%
741,CCV,Cash Converters International,$0.18,0,0.00%,$107.88 M,20.69%
318,CCX,City Chic Collective Ltd,$3.30,-0.04,-1.20%,$634.38 M,83.33%
"1,188",CCZ,Castillo Copper Ltd,$0.04,-0.002,-5.13%,$34.38 M,131.25%
"1,131",CD1,Cordish Dixon Private Equity Fund I,$1.00,0,0.00%,$39.01 M,-44.44%
935,CD2,Cordish Dixon Private Equity Fund Ii,$1.10,0,0.00%,$60.43 M,-49.77%
887,CD3,Cordish Dixon Private Equity Fund Iii,$0.97,0.02,2.11%,$69.87 M,-30.71%
194,CDA,Codan Ltd,$7.85,0.01,0.13%,$1.41 B,118.06%
769,CDD,Cardno Ltd,$0.23,-0.015,-6.25%,$100.58 M,-60.12%
"2,184",CDH,Chongherr Investments Ltd,$0.00,0,0.00%,$260.42 TH,-33.33%
549,CDM,Cadence Capital Ltd,$0.66,0.005,0.76%,$202.21 M,-14.29%
514,CDP,Carindale Property Trust,$3.33,-0.08,-2.35%,$233.10 M,-51.03%
"1,894",CDT,Castle Minerals Ltd,$0.01,-0.001,-6.67%,$5.45 M,180.00%
455,CDV,Cardinal Resources Ltd,$0.59,0,0.00%,$310.35 M,68.57%
"1,340",CDX,Cardiex Ltd,$0.03,0.002,6.67%,$24.14 M,10.35%
"1,471",CDY,Cellmid Ltd,$0.14,-0.01,-6.67%,$17.53 M,-39.13%
"1,737",CE1,Calima Energy Ltd,$0.00,0,0.00%,$8.62 M,-76.47%
754,CEL,Challenger Exploration Ltd,$0.23,-0.005,-2.13%,$103.05 M,505.26%
239,CEN,Contact Energy Ltd,$5.42,-0.105,-1.90%,$1.00 B,-26.66%
"1,368",CETF,Vaneck Vectors Ftse China A50 ETF,$64.39,-0.81,-1.24%,$22.28 M,13.10%
"2,122",CFE,Cape Lambert Resources Ltd,$0.00,-0.001,-50.00%,$1.74 M,-91.67%
"1,747",CFO,Cfoam Ltd,$0.04,0,0.00%,$8.46 M,-70.67%
"1,346",CG1,Carbonxt Group Ltd,$0.22,-0.01,-4.35%,$23.69 M,-31.25%
"1,505",CGA,Contango Asset Management Ltd,$0.34,0,0.00%,$16.07 M,-13.92%
"1,599",CGB,Cann Global Ltd,$0.01,0.001,20.00%,$12.86 M,-83.78%
217,CGC,Costa Group Holdings Ltd,$2.96,-0.06,-1.99%,$1.19 B,-31.32%
113,CGF,Challenger Ltd,$4.42,-0.01,-0.23%,$2.95 B,-36.04%
500,CGL,The Citadel Group Ltd,$3.09,-0.04,-1.28%,$243.21 M,-37.07%
"2,154",CGM,Cougar Metals NL,$0.00,0,0.00%,$1.18 M,0.00%
"1,652",CGN,Crater Gold Mining Ltd,$0.01,0,0.00%,$11.05 M,-30.77%
"1,984",CGO,CPT Global Ltd,$0.10,0,0.00%,$3.83 M,-50.00%
893,CGR,CML Group Ltd,$0.32,0.02,6.78%,$68.54 M,-34.38%
916,CGS,Cogstate Ltd,$0.38,0,0.00%,$64.66 M,96.66%
92,CHC,Charter Hall Group,$9.52,0.08,0.85%,$4.43 B,-18.98%
"1,807",CHK,Cohiba Minerals Ltd,$0.01,0,0.00%,$7.13 M,-27.27%
418,CHN,Chalice Gold Mines Ltd,$1.18,0.025,2.17%,$358.17 M,742.86%
"1,257",CHZ,Chesser Resources Ltd,$0.09,0.002,2.25%,$29.79 M,127.50%
"1,237",CI1,Credit Intelligence Ltd,$0.03,0,0.00%,$30.97 M,80.00%
205,CIA,Champion Iron Ltd,$2.75,-0.07,-2.48%,$1.30 B,-6.78%
895,CIE,Contango Income Generator Ltd,$0.65,0,0.00%,$68.27 M,-16.13%
773,CII,Ci Resources Ltd,$0.86,0,0.00%,$98.82 M,-40.63%
61,CIM,Cimic Group Ltd,$22.31,-0.67,-2.92%,$7.08 B,-50.91%
327,CIN,Carlton Investments Ltd,$22.66,-0.34,-1.48%,$599.92 M,-27.60%
"2,186",CINPA,Carlton Investments Ltd,$2.06,0,0.00%,$170.94 TH,0.49%
"1,917",CIO,Connected Io Ltd,$0.02,-0.001,-4.55%,$5.10 M,-65.00%
207,CIP,Centuria Industrial REIT,$3.20,0.05,1.59%,$1.28 B,0.31%
"1,166",CIW,Clime Investment Management Ltd,$0.55,0,0.00%,$36.14 M,13.40%
"1,149",CKA,Cokal Ltd,$0.04,-0.001,-2.38%,$37.86 M,-18.00%
227,CKF,Collins Foods Ltd,$9.12,-0.32,-3.39%,$1.06 B,10.68%
581,CL1,Class Ltd,$1.43,-0.04,-2.73%,$174.93 M,-2.06%
"1,671",CL8,Collaborate Corporation Ltd,$0.01,0.001,12.50%,$10.37 M,-10.00%
"1,541",CLA,Celsius Resources Ltd,$0.02,0,0.00%,$14.82 M,-42.42%
"1,232",CLB,Candy Club Holdings Ltd,$0.16,0.005,3.33%,$31.27 M,106.67%
928,CLF,Concentrated Leaders Fund Ltd,$1.04,0,0.00%,$61.78 M,-17.79%
623,CLH,Collection House Ltd,$1.09,0,0.00%,$154.01 M,-11.07%
"1,318",CLI,Croplogic Ltd,$0.03,0,0.00%,$25.12 M,-48.33%
776,CLQ,Clean TEQ Holdings Ltd,$0.13,0.005,4.00%,$97.04 M,-63.38%
"1,656",CLT,Cellnet Group Ltd,$0.05,0,0.00%,$10.89 M,-45.87%
413,CLV,Clover Corporation Ltd,$2.20,-0.03,-1.35%,$365.88 M,7.32%
148,CLW,Charter Hall Long Wale REIT,$4.32,0.05,1.17%,$2.11 B,-16.26%
"1,178",CLX,Cti Logistics Ltd,$0.45,0,0.00%,$34.97 M,-43.04%
"1,446",CLZ,Classic Minerals Ltd,$0.00,0,0.00%,$18.71 M,100.00%
"1,958",CM1,Coolgardie Minerals Ltd,$0.05,0,0.00%,$4.41 M,0.00%
"1,748",CM8,Crowd Media Holdings Ltd,$0.02,-0.001,-4.35%,$8.45 M,10.00%
"1,887",CMC,China Magnesium Corporation Ltd,$0.01,0,0.00%,$5.56 M,0.00%
"2,103",CMD,Cassius Mining Ltd,$0.01,0,0.00%,$2.01 M,-63.16%
"1,739",CML,Chase Mining Corporation Ltd,$0.03,-0.001,-3.57%,$8.60 M,-20.59%
325,CMM,Capricorn Metals Ltd,$1.85,-0.03,-1.60%,$602.95 M,163.57%
838,CMP,Compumedics Ltd,$0.45,0,0.00%,$79.72 M,-28.00%
138,CMW,Cromwell Property Group,$0.89,0.005,0.57%,$2.31 B,-25.94%
"1,629",CNB,Carnaby Resources Ltd,$0.13,0,0.00%,$12.00 M,-10.71%
807,CNEW,Vaneck Vectors China New Economy ETF,$9.88,0.17,1.75%,$86.95 M,52.00%
270,CNI,Centuria Capital Group,$1.67,-0.065,-3.75%,$806.74 M,-10.70%
"2,036",CNJ,Conico Ltd,$0.01,0,0.00%,$3.08 M,-20.00%
"1,527",CNL,Celamin Holdings Ltd,$0.08,0,0.00%,$15.52 M,14.29%
112,CNU,Chorus Ltd,$6.76,-0.55,-7.52%,$3.00 B,24.04%
"1,409",CNW,Cirrus Networks Holdings Ltd,$0.02,-0.001,-4.17%,$20.32 M,-45.24%
"1,506",COB,Cobalt Blue Holdings Ltd,$0.10,0,0.00%,$15.99 M,-31.03%
320,COE,Cooper Energy Ltd,$0.38,-0.005,-1.30%,$618.13 M,-32.14%
238,COF,Centuria Office REIT,$1.97,-0.02,-1.01%,$1.01 B,-30.52%
772,COG,Consolidated Operations Group Ltd,$0.06,0,0.00%,$99.02 M,-33.79%
33,COH,Cochlear Ltd,$190.47,-1.58,-0.82%,$12.51 B,-13.86%
880,COI,Comet Ridge Ltd,$0.09,-0.007,-7.22%,$71.01 M,-60.87%
16,COL,Coles Group Ltd,$17.72,0.25,1.43%,$23.64 B,27.57%
"1,415",COO,Corum Group Ltd,$0.05,0.004,8.70%,$20.13 M,66.67%
"1,442",CORE,ETFs Global Core Infrastructure ETF,$47.18,-0.16,-0.34%,$18.89 M,-22.13%
883,COS,Cosol Ltd,$0.55,0,0.00%,$70.13 M,44.74%
"1,537",COY,Coppermoly Ltd,$0.01,0,0.00%,$14.89 M,16.67%
"1,572",CP1,Cannpal Animal Therapeutics Ltd,$0.15,0.015,11.54%,$13.50 M,-23.68%
"1,635",CPH,Creso Pharma Ltd,$0.03,0.002,6.67%,$11.60 M,-93.12%
"2,011",CPT,Cipherpoint Ltd,$0.04,0.004,11.77%,$3.48 M,153.33%
60,CPU,Computershare Ltd,$13.27,-0.07,-0.53%,$7.18 B,-20.20%
"1,615",CPV,Clearvue Technologies Ltd,$0.11,-0.005,-4.35%,$12.23 M,-51.11%
266,CQE,Charter Hall Social Infrastructure REIT,$2.28,-0.04,-1.72%,$819.32 M,-38.87%
161,CQR,Charter Hall Retail REIT,$3.22,0.03,0.94%,$1.84 B,-30.00%
"1,556",CR1,Constellation Resources Ltd,$0.40,0.01,2.56%,$14.00 M,60.00%
"1,750",CRB,Carbine Resources Ltd,$0.04,0,0.00%,$8.39 M,0.00%
437,CRED,Betashares Australian Investment Grade Corporate Bond ETF,$27.20,0.08,0.30%,$330.78 M,-0.11%
"1,838",CRL,Comet Resources Ltd,$0.02,0.002,13.33%,$6.50 M,-43.33%
"1,893",CRM,Carbon Minerals Ltd,$0.29,0,0.00%,$5.45 M,123.08%
248,CRN,Coronado Global Resources Inc,$0.97,-0.04,-3.96%,$937.52 M,-72.13%
"1,697",CRO,Cirralto Ltd,$0.01,0.003,33.33%,$9.88 M,9.09%
"1,865",CRS,Caprice Resources Ltd,$0.21,0.005,2.50%,$5.94 M,57.69%
826,CSD,Consolidated Tin Mines Ltd,$0.13,0,0.00%,$82.48 M,400.00%
"1,963",CSE,Copper Strike Ltd,$0.04,0,0.00%,$4.27 M,-52.94%
1,CSL,CSL Ltd,$282.37,1.62,0.58%,$128.21 B,27.34%
167,CSR,CSR Ltd,$3.60,-0.06,-1.64%,$1.75 B,-14.69%
967,CSS,Clean Seas Seafood Ltd,$0.52,-0.03,-5.51%,$56.08 M,-40.81%
"1,148",CST,Castile Resources Ltd,$0.19,-0.015,-7.32%,$37.94 M,0.00%
"1,028",CT1,Constellation Technologies Ltd,$0.04,0,0.00%,$48.52 M,183.33%
245,CTD,Corporate Travel Management Ltd,$8.83,-0.66,-6.96%,$962.48 M,-59.85%
"1,836",CTE,Cryosite Ltd,$0.14,0,0.00%,$6.56 M,180.00%
674,CTM,Centaurus Metals Ltd,$0.49,0.005,1.03%,$128.16 M,308.33%
"1,594",CTO,Citigold Corporation Ltd,$0.01,0,0.00%,$13.01 M,0.00%
958,CTP,Central Petroleum Ltd,$0.08,0,0.00%,$57.86 M,-44.83%
873,CUE,CUE Energy Resources Ltd,$0.11,0.005,5.00%,$73.30 M,12.90%
"1,985",CUL,Cullen Resources Ltd,$0.02,0.001,6.25%,$3.82 M,75.86%
764,CUP,Countplus Ltd,$0.89,-0.025,-2.73%,$101.66 M,-5.32%
"1,683",CURE,ETFs S&P Biotech ETF,$63.00,-0.36,-0.57%,$10.08 M,19.07%
220,CUV,Clinuvel Pharmaceuticals Ltd,$23.51,-0.91,-3.73%,$1.16 B,-34.79%
"1,244",CV1,CV Check Ltd,$0.11,0,0.00%,$30.68 M,-53.33%
592,CVC,CVC Ltd,$1.43,-0.05,-3.38%,$167.82 M,-39.66%
977,CVF,Contrarian Value Fund Ltd,$0.80,-0.005,-0.62%,$55.16 M,-21.95%
"1,043",CVL,Civmec Ltd,$0.40,-0.005,-1.25%,$47.06 M,-1.25%
457,CVN,Carnarvon Petroleum Ltd,$0.20,0.005,2.63%,$305.05 M,-58.51%
"2,095",CVS,Cervantes Corporation Ltd,$0.00,0,0.00%,$2.14 M,0.00%
"1,717",CVV,Caravel Minerals Ltd,$0.05,-0.003,-6.00%,$9.27 M,-3.59%
499,CVW,Clearview Wealth Ltd,$0.36,0,0.00%,$243.39 M,-47.45%
"1,557",CWL,Consolidated Financial Holdings Ltd,$0.11,0,0.00%,$13.95 M,59.42%
74,CWN,Crown Resorts Ltd,$9.03,-0.01,-0.11%,$6.11 B,-29.84%
382,CWP,Cedar Woods Properties Ltd,$5.19,-0.05,-0.95%,$417.52 M,-13.50%
"1,545",CWX,Carawine Resources Ltd,$0.19,-0.02,-9.52%,$14.68 M,80.95%
95,CWY,Cleanaway Waste Management Ltd,$2.14,0,0.00%,$4.40 B,-13.36%
"1,213",CWZ,Cashwerkz Ltd,$0.17,0,0.00%,$32.73 M,-43.10%
755,CXL,CALIX Ltd,$0.81,0.048,6.30%,$102.67 M,10.96%
"1,745",CXM,Centrex Metals Ltd,$0.03,0.002,8.00%,$8.52 M,-75.46%
"1,050",CXO,Core Lithium Ltd,$0.05,-0.002,-4.00%,$46.55 M,14.29%
"1,757",CXU,Cauldron Energy Ltd,$0.02,0,0.00%,$8.28 M,46.67%
"1,831",CXX,Cradle Resources Ltd,$0.04,0,0.00%,$6.64 M,-53.33%
"1,546",CXZ,Connexion Telematics Ltd,$0.02,-0.001,-5.56%,$14.67 M,41.67%
"1,554",CY5,CYGNUS Gold Ltd,$0.18,0.03,20.00%,$14.09 M,200.00%
706,CYC,Cyclopharm Ltd,$1.50,-0.02,-1.32%,$118.49 M,0.67%
972,CYG,Coventry Group Ltd,$0.62,0.015,2.48%,$55.68 M,-29.71%
526,CYL,Catalyst Metals Ltd,$2.74,-0.09,-3.18%,$225.78 M,31.10%
"1,608",CYM,Cyprium Metals Ltd,$0.23,0.005,2.27%,$12.61 M,2.27%
874,CYP,Cynata Therapeutics Ltd,$0.62,0,0.00%,$72.62 M,-51.75%
"2,115",CYQ,CYCLIQ Group Ltd,$0.00,0,0.00%,$1.87 M,20.01%
845,CZI,Cassini Resources Ltd,$0.18,-0.003,-1.62%,$77.85 M,93.62%
"1,691",CZL,Consolidated ZINC Ltd,$0.00,0,0.00%,$9.96 M,-63.04%
"1,930",CZN,Corazon Mining Ltd,$0.00,0,0.00%,$4.82 M,3.45%
"1,136",CZR,Coziron Resources Ltd,$0.01,-0.001,-6.67%,$38.42 M,55.56%
"1,367",D13,Delaware Thirteen Ltd,$0.04,0,0.00%,$22.29 M,0.00%
601,D2O,Duxton Water Ltd,$1.36,-0.015,-1.10%,$161.75 M,-5.25%
"1,938",DAF,Discovery Africa Ltd,$0.02,0,0.00%,$4.65 M,76.92%
"1,754",DAU,Dampier Gold Ltd,$0.03,0.002,6.90%,$8.31 M,24.00%
"1,769",DAV,Davenport Resources Ltd,$0.04,0,0.00%,$8.01 M,-4.44%
"2,081",DBBF,Betashares Diversified Balanced ETF,$24.33,0,0.00%,$2.43 M,-2.87%
"1,073",DBF,Duxton Broadacre Farms Ltd,$1.03,0.01,0.98%,$44.20 M,-14.17%
"1,585",DCC,Digitalx Ltd,$0.02,-0.001,-4.35%,$13.32 M,-48.84%
888,DCG,Decmil Group Ltd,$0.05,-0.002,-3.57%,$69.50 M,-84.61%
"1,627",DCL,Domacom Ltd,$0.05,0.005,11.36%,$12.01 M,-43.10%
529,DCN,Dacian Gold Ltd,$0.40,-0.025,-5.95%,$219.73 M,-33.05%
"1,783",DCX,Discovex Resources Ltd,$0.01,0,0.00%,$7.71 M,33.33%
"1,693",DDD,3D Resources Ltd,$0.00,0,0.00%,$9.93 M,200.00%
208,DDR,Dicker Data Ltd,$7.29,-0.14,-1.88%,$1.25 B,28.35%
"1,849",DDT,Datadot Technology Ltd,$0.01,0.001,25.00%,$6.30 M,-24.81%
249,DEG,De Grey Mining Ltd,$0.80,-0.055,-6.47%,$932.60 M,943.20%
"1,275",DEM,De.Mem Ltd,$0.16,0,0.00%,$28.06 M,3.23%
"1,359",DEV,DEVEX Resources Ltd,$0.12,-0.005,-4.00%,$22.84 M,100.00%
423,DFM,Dongfang Modern Agriculture Holding Group Ltd,$0.83,0,0.00%,$348.90 M,0.00%
"2,083",DGGF,Betashares Diversified Growth ETF,$23.85,0.05,0.21%,$2.41 M,-5.62%
995,DGH,Desane Group Holdings Ltd,$1.30,0,0.00%,$53.18 M,-7.80%
576,DGO,DGO Gold Ltd,$2.95,-0.25,-7.81%,$176.60 M,353.85%
"1,033",DGR,DGR Global Ltd,$0.06,0.004,6.78%,$48.29 M,-29.90%
160,DHG,Domain Holdings Australia Ltd,$3.15,-0.07,-2.17%,$1.84 B,0.32%
"2,012",DHHF,Betashares Diversified High Growth ETF,$23.05,-0.21,-0.90%,$3.47 M,-6.83%
"1,870",DHR,Dark Horse Resources Ltd,$0.00,0,0.00%,$5.89 M,-50.00%
477,DJRE,SPDR Dow Jones Global Real Estate Fund,$17.94,-0.12,-0.66%,$269.95 M,-24.21%
321,DJW,Djerriwarrh Investments Ltd,$2.74,0.04,1.48%,$614.45 M,-23.68%
"1,347",DKM,Duketon Mining Ltd,$0.20,-0.01,-4.76%,$23.65 M,53.85%
"1,886",DLC,Delecta Ltd,$0.01,0,0.00%,$5.57 M,40.00%
954,DME,Dome Gold Mines Ltd,$0.20,0,0.00%,$58.30 M,5.26%
"1,905",DMG,Dragon Mountain Gold Ltd,$0.02,0,0.00%,$5.27 M,0.00%
"1,846",DMKT,AMP Capital Dynamic Markets Fund (Hedge Fund),$2.12,-0.03,-1.40%,$6.34 M,-14.52%
71,DMP,Domino's PIZZA Enterprises Ltd,$71.64,0.48,0.68%,$6.18 B,77.86%
"1,259",DNA,Donaco International Ltd,$0.04,0.004,12.50%,$29.65 M,-71.20%
610,DNK,Danakali Ltd,$0.50,0.005,1.02%,$157.78 M,-29.29%
"2,133",DOR,Doriemus Plc,$0.03,0,0.00%,$1.57 M,-32.50%
131,DOW,Downer Edi Ltd,$4.15,-0.19,-4.38%,$2.47 B,-40.12%
"1,534",DRE,Dreadnought Resources Ltd,$0.01,-0.001,-11.11%,$15.13 M,100.00%
